EntST1_1MP,-0.019192790278642846,256.0,266.0,266.0,276.0
EntST1_MP2,-0.08831498838374685,270.0,280.0,280.0,290.0
EntST1_2MP,0.0,238.0,248.0,248.0,238.0
EntST1_MP3,-0.04049282253054365,268.0,278.0,278.0,288.0
EntST1_3MP,0.0307738775224351,287.0,297.0,297.0,307.0
EntST1_MP4,-0.012967400085795333,248.0,258.0,258.0,268.0
EntST1_4MP,0.0481172327092203,226.0,236.0,236.0,246.0
EntST1_MP5,0.02239829428590312,208.0,218.0,218.0,228.0
EntST1_5MP,0.04866920794364127,227.0,237.0,237.0,247.0
EntST1_MP6,0.04618226561369099,221.0,231.0,231.0,241.0
EntST1_6MP,-0.055758456828881364,201.0,211.0,211.0,221.0
EntST1_MP7,0.02069034906462619,182.0,192.0,192.0,202.0
